字號,字
5086,阡
5089,芊
5093,箋
5094,牋
5095,㮍
5100,湔
5108,天
5109,𠀘
5110,䒶
5114,堅
5119,肩
5128,鰹
5131,賢
5132,臤
5133,弦
5134,絃
5135,舷
5136,胘
5146,痃
5149,煙
5150,烟
5151,𡨾
5152,𤎟
5153,燕
5154,咽
5157,湮
5158,胭
5160,閼
5161,蓮
5162,憐
5163,怜
5169,田
5173,填
5174,窴
5178,鈿
5185,滇
5189,秊
5190,年
5191,𨛲
5192,顛
5193,㒹
5194,齻
5197,瘨
5198,癲
5201,巔
5207,牽
5217,妍
5219,研
5220,𥓋
5225,眠
5226,瞑
5229,𥌂
5236,駢
5238,胼
5244,淵
5245,𠝃
5246,囦
5254,涓
5256,蠲
5259,鵑
5267,邊
5268,籩
5271,蝙
5274,編
5281,玄
5282,縣
5283,懸
5284,眩
5287,玆
5289,𥌭
5292,胘
5297,仙
5298,僊
5299,㒨
5304,秈
5305,鮮
5306,硟
5307,鱻
5309,錢
5311,遷
5312,𨙙
5313,𠨧
5317,韆
5319,煎
5320,湔
5323,然
5324,燃
5332,延
5334,筵
5338,蜒
5347,旃
5348,旜
5350,氈
5359,驙
5360,鱣
5361,𩼼
5367,羶
5369,挻
5370,扇
5371,煽
5377,鏈
5380,單
5381,蟬
5385,禪
5387,嬋
5388,纏
5389,緾
5401,嫣
5403,連
5404,聮
5405,漣
5407,鰱
5410,鏈
5416,篇
5417,偏
5418,翩
5421,扁
5423,便
5424,緶
5426,平
5432,緜
5433,綿
5434,棉
5449,全
5450,仝
5451,泉
5456,宣
5463,瑄
5466,鐫
5467,鋑
5485,穿
5486,川
5488,沿
5489,㳂
5490,鉛
5491,鈆
5493,捐
5494,鳶
5496,緣
5500,旋
5506,㳬
5507,琁
5508,璇
5517,娟
5524,船
5525,舩
5526,鞭
5529,編
5532,㳄
5533,涎
5534,詮
5535,銓
5536,硂
5537,痊
5541,筌
5547,荃
5552,拴
5553,專
5554,甎
5560,膞
5566,篅
5567,圌
5573,員
5574,圜
5575,圓
5576,湲
5581,栓
5585,乾
5586,虔
5587,犍
5593,揵
5594,愆
5598,褰
5599,騫
5604,權
5605,拳
5608,顴
5613,𤷄
5622,鬈
5625,蜷
5626,捲
5627,椽
5628,傳
5629,攣
5634,棬
5637,焉
5639,蔫
5641,鄢
5644,焉
5650,蕭
5651,簫
5653,蟰
5667,佻
5668,挑
5677,貂
5680,刁
5682,凋
5685,雕
5686,鵰
5688,彫
5699,迢
5700,條
5703,跳
5709,苕
5711,調
5712,鮡
5721,驍
5722,梟
5724,澆
5726,釗
5727,邀
5730,聊
5733,膫
5735,遼
5738,寥
5742,撩
5745,僚
5746,寮
5747,鐐
5750,鷯
5755,蟟
5756,瞭
5762,繚
5764,獠
5765,髎
5770,嘹
5772,堯
5774,僥
5784,幺
5794,宵
5795,消
5796,霄
5797,捎
5798,逍
5801,銷
5802,焇
5803,硝
5804,蛸
5806,哨
5809,𤞚
5813,魈
5814,超
5816,欩
5820,朝
5821,𦩻
5824,晁
5826,朝
5827,潮
5828,嚻
5829,枵
5838,樵
5839,⿳艹椎木
5841,憔
5851,撨
5853,驕
5854,嬌
5861,撟
5862,焦
5863,𤓪
5865,蕉
5869,椒
5870,茮
5879,饒
5880,橈
5883,蟯
5884,蕘
5885,燒
5887,遙
5889,傜
5893,窯
5894,窰
5897,珧
5900,姚
5901,搖
5902,謠
5911,洮
5919,瑤
5923,韶
5924,㲈
5933,昭
5935,鉊
5936,招
5937,釗
5940,飊
5941,標
5943,杓
5955,鑣
5956,𧥍
5957,臕
5958,儦
5962,瓢
5964,剽
5965,薸
5973,苗
5974,描
5976,貓
5977,猫
5978,要
5979,腰
5983,䙅
5984,邀
5987,鴞
5989,喬
5990,橋
5992,僑
5993,㝯
6000,蕎
6002,蹻
6005,鍫
6006,鐰
6012,妖
6016,夭
6017,蹻
6020,蹺
6025,𤐫
6026,漂
6029,嫖
6032,鏢
6035,飄
6042,瞟
6052,燎
6053,髎
6056,橇
6057,鞽
6058,肴
6059,餚
6060,崤
6065,姣
6068,爻
6069,淆
6071,胶
6077,交
6078,蛟
6079,茭
6081,膠
6082,鮫
6083,咬
6084,郊
6089,教
6093,鉸
6094,佼
6100,巢
6108,鐃
6117,梢
6118,捎
6124,筲
6125,鞘
6134,茅
6136,貓
6154,嘐
6159,包
6160,胞
6161,枹
6162,苞
6167,脬
6168,拋
6169,泡
6173,敲
6174,跤
6175,骹
6191,抓
6194,嘲
6196,啁
6198,鵃
6200,抄
6201,鈔
6205,庖
6206,咆
6207,匏
6208,炮
6209,炰
6210,鉋
6212,麃
6217,跑
6220,泡
6224,坳
6228,咬
6232,嘮
6238,豪
6239,號
6240,毫
6241,嗥
6242,獋
6243,濠
6244,壕
6251,高
6252,膏
6254,皋
6255,羔
6256,餻
6259,咎
6260,鼛
6262,篙
6272,勞
6273,澇
6274,牢
6275,窂
6280,醪
6281,撈
6294,蒿
6296,撓
6298,薅
6299,茠
6300,𣐾
6301,毛
6302,髦
6305,旄
6313,韜
6314,縚
6316,滔
6317,叨
6331,搯
6339,刀
6346,騷
6347,搔
6348,繅
6349,繰
6350,臊
6354,鱢
6355,⿰木叜
6356,䑹
6359,袍
6360,袌
6362,襃
6363,褒
6364,𠅬
6366,陶
6370,桃
6372,燾
6373,逃
6377,濤
6378,掏
6381,萄
6391,糟
6392,𦵩
6393,醩
6394,遭
6395,㷮
6400,敖
6401,遨
6402,翺
6403,聱
6405,熬
6411,鼇
6412,螯
6414,嗸
6415,嗷
6424,鰲
6425,曹
6426,𣍘
6427,槽
6429,嘈
6432,艚
6437,漕
6439,𤏶
6442,猱
6450,尻
6452,操
6460,歌
6461,謌
6462,柯
6467,戕
6469,哥
6471,蹉
6473,搓
6474,磋
6478,多
6479,娑
6480,挱
6481,挲
6490,駝
6491,駞
6496,陀
6499,沱
6502,池
6505,馱
6512,佗
6532,莪
6533,哦
6534,娥
6535,䄉
6536,峩
6537,鵝
6538,俄
6540,蛾
6545,佗
6546,他
6547,拕
6548,它
6552,羅
6553,蘿
6554,籮
6559,囉
6560,鑼
6565,挪
6566,儺
6571,何
6572,河
6573,荷
6574,菏
6575,苛
6576,蚵
6577,魺
6578,訶
6579,呵
6583,珂
6586,軻
6587,阿
6589,痾
6594,戈
6595,過
6597,鍋
6612,莎
6616,趖
6617,蓑
6618,唆
6621,梭
6622,𣜤
6624,婆
6626,鄱
6636,摩
6637,𩞁
6640,魔
6642,磨
6647,矬
6648,痤
6652,訛
6653,譌
6654,吪
6658,厄
6666,騾
6667,驘
6671,螺
6672,蠃
6678,腡
6682,波
6688,頗
6689,坡
6691,玻
6692,和
6693,咊
6695,禾
6701,科
6702,窠
6704,稞
6706,蝌
6709,課
6715,倭
6717,渦
6719,𡑟
6720,踒
6722,鞾
6723,靴
6730,伽
6731,茄
6732,枷
6737,迦
6742,瘸
6744,麻
6746,蟆
6749,痲
6752,車
6754,奢
6755,賖
6756,畬
6757,邪
6758,耶
6759,瑘
6762,椰
6770,遮
6774,嗟
6786,蛇
6787,虵
6789,華
6793,鋘
6794,鏵
6795,釫
6796,樺
6798,划
6799,瓜
6803,蝸
6804,媧
6806,華
6807,花
6808,譁
6810,誇
6812,夸
6814,跨
6815,胯
6818,拏
6827,嘉
6828,家
6829,加
6830,葭
6831,笳
6836,痂
6838,枷
6839,袈
6845,茄
6846,迦
6848,瘕
6853,遐
6854,蝦
6856,霞
6857,瑕
6864,葩
6865,鈀
6871,鴉
6872,鵶
6875,椏
6876,丫
6879,巴
6880,鈀
6881,笆
6883,芭
6886,吧
6887,叉
6888,杈
6889,差
6895,艖
6896,鯊
6897,魦
6898,沙
6899,砂
6900,裟
6903,紗
6907,牙
6908,衙
6909,芽
6911,呀
6914,樝
6915,柤
6921,溠
6922,渣
6930,𣘻
6931,茶
6941,衺
6942,斜
6943,邪
6946,余
6951,洼
6953,蛙
6954,窪
6955,哇
6956,髽
6961,爬
6962,杷
6963,琶
6964,楂
6965,查
6966,槎
6971,哆
6989,㤉
6994,些
6995,爹
6999,陽
7001,楊
7002,揚
7005,羊
7008,佯
7009,詳
7010,徉
7011,洋
7012,烊
7013,煬
7018,瘍
7022,蛘
7030,詳
7032,翔
7033,庠
7034,祥
7038,良
7039,梁
7040,粱
7041,粮
7042,糧
7043,涼
7044,凉
7046,量
7056,香
7058,薌
7059,鄉
7061,商
7062,𧶜
7063,傷
7065,殤
7068,湯
7080,房
7081,防
7082,坊
7083,魴
7084,方
7085,肪
7087,章
7088,漳
7089,樟
7091,璋
7092,彰
7094,障
7095,麞
7096,獐
7102,昌
7104,倡
7105,猖
7108,鯧
7109,菖
7110,羌
7111,猐
7112,𡺛
7113,蜣
7114,薑
7115,䕬
7116,畺
7117,疆
7118,壃
7121,繮
7122,韁
7123,殭
7124,礓
7126,姜
7128,僵
7129,長
7131,腸
7132,場
7137,張
7140,漲
7141,穰
7142,禳
7143,攘
7156,瓤
7158,方
7160,坊
7162,肪
7163,邡
7165,枋
7166,鈁
7171,襄
7172,廂
7173,湘
7174,相
7175,緗
7178,驤
7179,鑲
7180,瓖
7182,箱
7184,將
7185,漿
7187,蔣
7190,創
